Al FCC 144-atom supercell 3x3x4 a=4.05 (seed=42, amp=0.1) — metal units, tools/gen_fcc.py

144 atoms
1 atom types

0.0 12.150000 xlo xhi
0.0 12.150000 ylo yhi
0.0 16.200000 zlo zhi

Masses

1 26.9815

Atoms # atomic

1 1 0.0547912097 12.1377756880 0.0717195840
2 1 2.0644736058 1.9438354696 0.0951244703
3 1 2.0772279404 0.0572128611 1.9506227265
4 1 12.1400771876 1.9991596048 2.1103529978
5 1 0.0287730240 0.0645523227 4.0386828398
6 1 1.9704477444 2.0359169574 3.9627634512
7 1 2.0905262344 0.0263328798 6.1266175480
8 1 12.1209051936 2.1191396049 6.1536242243
9 1 0.0556766994 12.0889277416 8.0933442007
10 1 1.9337607532 1.9558578984 8.1366097906
11 1 2.0739524312 0.0935019465 10.0901650716
12 1 12.1240919412 2.0189111623 10.0628942718
13 1 12.0759843011 12.1451409852 12.0953818698
14 1 2.0589627989 2.0124303838 12.2165356392
15 1 2.0650530204 12.1124733283 14.2414519603
16 1 0.0609528715 2.0024956758 14.1326656208
17 1 0.0364991008 3.9779504967 16.1399816405
18 1 1.9264724540 6.1323848755 0.0329701713
19 1 2.0660330757 4.1061458062 2.0167831551
20 1 0.0137482392 6.0029593996 1.9479060147
21 1 0.0336805924 4.0442192412 4.0630472213
22 1 2.0779997715 6.1019436640 4.0607158801
23 1 2.0368414321 4.0107900196 5.9811635669
24 1 12.1373434778 6.0179169346 6.0567057287
25 1 0.0706806147 3.9967878972 8.0116605483
26 1 1.9812767784 6.0337187516 8.1323833029
27 1 2.0364064305 4.1067796418 10.1578627081
28 1 12.1312773723 6.1378040769 10.0583945840
29 1 12.0545424146 3.9680095722 12.1944718701
30 1 2.0173754461 6.0072543558 12.1502089550
31 1 1.9554624205 4.0892640750 14.1642312551
32 1 12.1262042452 6.0353024178 14.2010565186
33 1 12.1223625221 8.0175299839 16.1236011804
34 1 2.1173795329 10.2067161381 0.0399414268
35 1 1.9781739923 8.1938352755 2.0807501808
36 1 0.0433780378 10.1148723004 1.9794483124
37 1 12.0692781924 8.1805204793 4.0411552580
38 1 1.9654726730 10.0861913248 4.0658439138
39 1 1.9603545566 8.1713228568 6.1267039060
40 1 0.0438925912 10.1114186080 6.1004617681
